Own Bid,,Bid opponent,
(u=0.9366666666666666, t=-1.0),(u=0.7341666666666666, t=0.01639344262295082)
(u=0.9366666666666666, t=-1.0),(u=0.48749999999999993, t=0.01639344262295082)
(u=0.9083333333333333, t=-1.0),(u=0.5475, t=0.03278688524590164)
(u=0.9275000000000001, t=-1.0),(u=0.6216666666666667, t=0.03278688524590164)
(u=0.9366666666666666, t=-1.0),(u=0.6791666666666667, t=0.04918032786885246)
(u=0.9066666666666666, t=-1.0),(u=0.6758333333333333, t=0.04918032786885246)
(u=0.9275000000000001, t=-1.0),(u=0.6758333333333334, t=0.06557377049180328)
(u=0.9333333333333335, t=-1.0),(u=0.4575, t=0.06557377049180328)
(u=0.9083333333333333, t=-1.0),(u=0.8025, t=0.08196721311475409)
(u=0.9066666666666666, t=-1.0),(u=0.5824999999999999, t=0.08196721311475409)
(u=0.9066666666666667, t=-1.0),(u=0.6616666666666666, t=0.09836065573770492)
(u=0.9116666666666667, t=-1.0),(u=0.5650000000000001, t=0.11475409836065574)
(u=0.9291666666666667, t=-1.0),(u=0.7975, t=0.11475409836065574)
(u=0.9033333333333333, t=-1.0),(u=0.6283333333333333, t=0.13114754098360656)
(u=0.9625, t=-1.0),(u=0.505, t=0.13114754098360656)
(u=0.9241666666666667, t=-1.0),(u=0.43999999999999995, t=0.14754098360655737)
(u=0.9050000000000001, t=-1.0),(u=0.6, t=0.16393442622950818)
(u=0.9416666666666667, t=-1.0),(u=0.66, t=0.18032786885245902)
(u=0.9116666666666667, t=-1.0),(u=0.8058333333333333, t=0.19672131147540983)
(u=0.9874999999999999, t=-1.0),(u=0.6158333333333333, t=0.21311475409836064)
(u=0.9208333333333333, t=-1.0),(u=0.5033333333333333, t=0.22950819672131148)
(u=0.9666666666666668, t=-1.0),(u=0.5791666666666666, t=0.2459016393442623)
