sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;Profile 1;Profile 2
0,006;4;;60rounds;Yes;Yes;2;0,83795;0,83795;0,00000;0,13333;1,67590;ConcederNegotiationParty@1804;ConcederNegotiationParty@1805;0.8740242984783759;0.874024298478376;0.8379496034780919;0.837949603478092;0.8379496034780919;0.837949603478092;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,009;5;;60rounds;Yes;Yes;2;0,77056;0,94535;0,00000;0,00000;1,71591;Group29_BoaParty@1806;ConcederNegotiationParty@1807;1.0;0.8151053951696905;0.9453497733182434;0.7705597005541441;0.9453497733182434;0.7705597005541441;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,003;2;;60rounds;Yes;Yes;2;0,80373;0,98605;0,00000;0,00000;1,78978;ConcederNegotiationParty@1808;Group29_BoaParty@1809;1.0;0.8151053951696905;0.9860481692593485;0.8037331826604911;0.9860481692593485;0.8037331826604911;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,007;5;;60rounds;Yes;Yes;2;0,77056;0,94535;0,00000;0,00000;1,71591;Group29_BoaParty@1810;Group29_BoaParty@1811;1.0;0.8151053951696905;0.9453497733182434;0.7705597005541441;0.9453497733182434;0.7705597005541441;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,006;4;;60rounds;Yes;Yes;2;0,83795;0,83795;0,00000;0,13333;1,67590;ConcederNegotiationParty@1812;ConcederNegotiationParty@1813;0.8740242984783759;0.874024298478376;0.8379496034780919;0.837949603478092;0.8379496034780919;0.837949603478092;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,006;5;;60rounds;Yes;Yes;2;0,77056;0,94535;0,00000;0,00000;1,71591;Group29_BoaParty@1814;ConcederNegotiationParty@1815;1.0;0.8151053951696905;0.9453497733182434;0.7705597005541441;0.9453497733182434;0.7705597005541441;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,004;2;;60rounds;Yes;Yes;2;0,80373;0,98605;0,00000;0,00000;1,78978;ConcederNegotiationParty@1816;Group29_BoaParty@1817;1.0;0.8151053951696905;0.9860481692593485;0.8037331826604911;0.9860481692593485;0.8037331826604911;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,006;5;;60rounds;Yes;Yes;2;0,77056;0,94535;0,00000;0,00000;1,71591;Group29_BoaParty@1818;Group29_BoaParty@1819;1.0;0.8151053951696905;0.9453497733182434;0.7705597005541441;0.9453497733182434;0.7705597005541441;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,008;4;;60rounds;Yes;Yes;2;0,83795;0,83795;0,00000;0,13333;1,67590;ConcederNegotiationParty@1820;ConcederNegotiationParty@1821;0.8740242984783759;0.874024298478376;0.8379496034780919;0.837949603478092;0.8379496034780919;0.837949603478092;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,006;5;;60rounds;Yes;Yes;2;0,77056;0,94535;0,00000;0,00000;1,71591;Group29_BoaParty@1822;ConcederNegotiationParty@1823;1.0;0.8151053951696905;0.9453497733182434;0.7705597005541441;0.9453497733182434;0.7705597005541441;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,005;2;;60rounds;Yes;Yes;2;0,80373;0,98605;0,00000;0,00000;1,78978;ConcederNegotiationParty@1824;Group29_BoaParty@1825;1.0;0.8151053951696905;0.9860481692593485;0.8037331826604911;0.9860481692593485;0.8037331826604911;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,004;3;;60rounds;Yes;Yes;2;0,79252;0,97229;0,00000;0,00000;1,76481;Group29_BoaParty@1826;Group29_BoaParty@1827;1.0;0.8151053951696905;0.9722909920997126;0.7925196333353667;0.9722909920997126;0.7925196333353667;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,008;4;;60rounds;Yes;Yes;2;0,83795;0,83795;0,00000;0,13333;1,67590;ConcederNegotiationParty@1828;ConcederNegotiationParty@1829;0.8740242984783759;0.874024298478376;0.8379496034780919;0.837949603478092;0.8379496034780919;0.837949603478092;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,007;5;;60rounds;Yes;Yes;2;0,77056;0,94535;0,00000;0,00000;1,71591;Group29_BoaParty@1830;ConcederNegotiationParty@1831;1.0;0.8151053951696905;0.9453497733182434;0.7705597005541441;0.9453497733182434;0.7705597005541441;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,004;2;;60rounds;Yes;Yes;2;0,80373;0,98605;0,00000;0,00000;1,78978;ConcederNegotiationParty@1832;Group29_BoaParty@1833;1.0;0.8151053951696905;0.9860481692593485;0.8037331826604911;0.9860481692593485;0.8037331826604911;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,004;2;;60rounds;Yes;Yes;2;0,80373;0,98605;0,00000;0,00000;1,78978;Group29_BoaParty@1834;Group29_BoaParty@1835;1.0;0.8151053951696905;0.9860481692593485;0.8037331826604911;0.9860481692593485;0.8037331826604911;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,008;4;;60rounds;Yes;Yes;2;0,83795;0,83795;0,00000;0,13333;1,67590;ConcederNegotiationParty@1836;ConcederNegotiationParty@1837;0.8740242984783759;0.874024298478376;0.8379496034780919;0.837949603478092;0.8379496034780919;0.837949603478092;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,009;5;;60rounds;Yes;Yes;2;0,77056;0,94535;0,00000;0,00000;1,71591;Group29_BoaParty@1838;ConcederNegotiationParty@1839;1.0;0.8151053951696905;0.9453497733182434;0.7705597005541441;0.9453497733182434;0.7705597005541441;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,005;2;;60rounds;Yes;Yes;2;0,80373;0,98605;0,00000;0,00000;1,78978;ConcederNegotiationParty@1840;Group29_BoaParty@1841;1.0;0.8151053951696905;0.9860481692593485;0.8037331826604911;0.9860481692593485;0.8037331826604911;laptop_buyer_utility.xml;laptop_seller_utility.xml
