sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;Profile 1;Profile 2
0,010;6;;60rounds;Yes;Yes;2;0,75981;0,93216;0,00000;0,00000;1,69197;TimeDependentAgentBoulware@52764;TimeDependentAgentConceder@52765;1.0;0.8151053951696905;0.932160413290194;0.7598089820364455;0.0;0.0;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,015;12;;60rounds;Yes;Yes;2;0,62171;0,85680;0,00000;0,28348;1,47851;TimeDependentAgentConceder@52766;TimeDependentAgentBoulware@52767;0.725620106089855;1.0;0.6217112843882905;0.8567999689789504;0.0;0.0;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,052;48;;60rounds;Yes;Yes;2;0,42114;0,51667;0,00000;0,00000;0,93781;TimeDependentAgentHardliner@52768;TimeDependentAgentBoulware@52769;1.0;0.8151053951696905;0.5166687108179503;0.4211394537030799;0.0;0.0;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,050;48;;60rounds;Yes;Yes;2;0,42114;0,51667;0,00000;0,00000;0,93781;Group29_BoaParty@52770;TimeDependentAgentBoulware@52771;1.0;0.8151053951696905;0.5166687108179503;0.4211394537030799;0.5166687108179503;0.0;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,058;53;;60rounds;Yes;Yes;2;0,34947;0,48162;0,00000;0,15935;0,83109;TimeDependentAgentBoulware@52772;TimeDependentAgentHardliner@52773;0.725620106089855;1.0;0.3494717906109576;0.48161811901017226;0.0;0.0;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,012;12;;60rounds;Yes;Yes;2;0,62171;0,85680;0,00000;0,28348;1,47851;TimeDependentAgentConceder@52774;TimeDependentAgentHardliner@52775;0.725620106089855;1.0;0.6217112843882905;0.8567999689789504;0.0;0.0;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,007;6;;60rounds;Yes;Yes;2;0,75981;0,93216;0,00000;0,00000;1,69197;TimeDependentAgentHardliner@52776;TimeDependentAgentConceder@52777;1.0;0.8151053951696905;0.932160413290194;0.7598089820364455;0.0;0.0;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,007;6;;60rounds;Yes;Yes;2;0,75981;0,93216;0,00000;0,00000;1,69197;Group29_BoaParty@52778;TimeDependentAgentConceder@52779;1.0;0.8151053951696905;0.932160413290194;0.7598089820364455;0.932160413290194;0.0;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,003;2;;60rounds;Yes;Yes;2;0,80373;0,98605;0,00000;0,00000;1,78978;TimeDependentAgentBoulware@52780;Group29_BoaParty@52781;1.0;0.8151053951696905;0.9860481692593485;0.8037331826604911;0.0;0.8037331826604911;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,003;4;;60rounds;Yes;Yes;2;0,78146;0,95873;0,00000;0,00000;1,74019;TimeDependentAgentConceder@52782;Group29_BoaParty@52783;1.0;0.8151053951696905;0.9587257527472772;0.7814625335524283;0.0;0.7814625335524283;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,003;2;;60rounds;Yes;Yes;2;0,80373;0,98605;0,00000;0,00000;1,78978;TimeDependentAgentHardliner@52784;Group29_BoaParty@52785;1.0;0.8151053951696905;0.9860481692593485;0.8037331826604911;0.0;0.8037331826604911;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,062;61;;60rounds;No;Yes;1;0,00000;0,00000;0,53179;0,55529;0,00000;Group29_BoaParty@52786;TimeDependentAgentHardliner@52787;0.0;0.0;0.0;0.0;0.0;0.0;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,008;6;;60rounds;Yes;Yes;2;0,75981;0,93216;0,00000;0,00000;1,69197;TimeDependentAgentBoulware@52788;TimeDependentAgentConceder@52789;1.0;0.8151053951696905;0.932160413290194;0.7598089820364455;0.0;0.0;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,014;12;;60rounds;Yes;Yes;2;0,62171;0,85680;0,00000;0,28348;1,47851;TimeDependentAgentConceder@52790;TimeDependentAgentBoulware@52791;0.725620106089855;1.0;0.6217112843882905;0.8567999689789504;0.0;0.0;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,049;48;;60rounds;Yes;Yes;2;0,42114;0,51667;0,00000;0,00000;0,93781;TimeDependentAgentHardliner@52792;TimeDependentAgentBoulware@52793;1.0;0.8151053951696905;0.5166687108179503;0.4211394537030799;0.0;0.0;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,050;48;;60rounds;Yes;Yes;2;0,42114;0,51667;0,00000;0,00000;0,93781;Group29_BoaParty@52794;TimeDependentAgentBoulware@52795;1.0;0.8151053951696905;0.5166687108179503;0.4211394537030799;0.5166687108179503;0.0;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,062;53;;60rounds;Yes;Yes;2;0,34947;0,48162;0,00000;0,15935;0,83109;TimeDependentAgentBoulware@52796;TimeDependentAgentHardliner@52797;0.725620106089855;1.0;0.3494717906109576;0.48161811901017226;0.0;0.0;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,013;12;;60rounds;Yes;Yes;2;0,62171;0,85680;0,00000;0,28348;1,47851;TimeDependentAgentConceder@52798;TimeDependentAgentHardliner@52799;0.725620106089855;1.0;0.6217112843882905;0.8567999689789504;0.0;0.0;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,009;6;;60rounds;Yes;Yes;2;0,75981;0,93216;0,00000;0,00000;1,69197;TimeDependentAgentHardliner@52800;TimeDependentAgentConceder@52801;1.0;0.8151053951696905;0.932160413290194;0.7598089820364455;0.0;0.0;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,008;6;;60rounds;Yes;Yes;2;0,75981;0,93216;0,00000;0,00000;1,69197;Group29_BoaParty@52802;TimeDependentAgentConceder@52803;1.0;0.8151053951696905;0.932160413290194;0.7598089820364455;0.932160413290194;0.0;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,003;2;;60rounds;Yes;Yes;2;0,80373;0,98605;0,00000;0,00000;1,78978;TimeDependentAgentBoulware@52804;Group29_BoaParty@52805;1.0;0.8151053951696905;0.9860481692593485;0.8037331826604911;0.0;0.8037331826604911;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,009;4;;60rounds;Yes;Yes;2;0,81650;0,90229;0,00000;0,18662;1,71878;TimeDependentAgentConceder@52806;Group29_BoaParty@52807;0.851647611783233;0.9411329008630686;0.816496497682301;0.9022883488151741;0.0;0.9022883488151741;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,005;2;;60rounds;Yes;Yes;2;0,80373;0,98605;0,00000;0,00000;1,78978;TimeDependentAgentHardliner@52808;Group29_BoaParty@52809;1.0;0.8151053951696905;0.9860481692593485;0.8037331826604911;0.0;0.8037331826604911;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,065;61;;60rounds;No;Yes;1;0,00000;0,00000;0,53179;0,55529;0,00000;Group29_BoaParty@52810;TimeDependentAgentHardliner@52811;0.0;0.0;0.0;0.0;0.0;0.0;laptop_buyer_utility.xml;laptop_seller_utility.xml
