sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;Profile 1;Profile 2
0,009;6;;60rounds;Yes;No;2;0,74667;0,77847;0,12816;0,15492;1,52513;ConcederNegotiationParty@1404;ConcederNegotiationParty@1405;0.7466666666666668;0.7784676281352214;0.7466666666666668;0.7784676281352214;0.7466666666666668;0.7784676281352214;party1_utility.xml;party2_utility.xml
0,022;16;;60rounds;Yes;No;2;0,64973;0,92917;0,02068;0,31390;1,57890;Group29_BoaParty@1406;ConcederNegotiationParty@1407;0.9291666666666667;0.6497308213786102;0.9291666666666667;0.6497308213786102;0.9291666666666667;0.6497308213786102;party1_utility.xml;party2_utility.xml
0,006;4;;60rounds;Yes;No;2;0,73255;0,81833;0,06027;0,19883;1,55089;ConcederNegotiationParty@1408;Group29_BoaParty@1409;0.8183333333333335;0.732553347071756;0.8183333333333335;0.732553347071756;0.8183333333333335;0.732553347071756;party1_utility.xml;party2_utility.xml
0,110;56;;60rounds;Yes;No;2;0,66621;0,94167;0,00000;0,30558;1,60787;Group29_BoaParty@1410;Group29_BoaParty@1411;0.9416666666666667;0.6662075599338653;0.9416666666666667;0.6662075599338653;0.9416666666666667;0.6662075599338653;party1_utility.xml;party2_utility.xml
0,008;6;;60rounds;Yes;No;2;0,74667;0,77847;0,12816;0,15492;1,52513;ConcederNegotiationParty@1412;ConcederNegotiationParty@1413;0.7466666666666668;0.7784676281352214;0.7466666666666668;0.7784676281352214;0.7466666666666668;0.7784676281352214;party1_utility.xml;party2_utility.xml
0,022;14;;60rounds;Yes;No;2;0,64973;0,92917;0,02068;0,31390;1,57890;Group29_BoaParty@1414;ConcederNegotiationParty@1415;0.9291666666666667;0.6497308213786102;0.9291666666666667;0.6497308213786102;0.9291666666666667;0.6497308213786102;party1_utility.xml;party2_utility.xml
0,007;4;;60rounds;Yes;No;2;0,73255;0,81833;0,06027;0,19883;1,55089;ConcederNegotiationParty@1416;Group29_BoaParty@1417;0.8183333333333335;0.732553347071756;0.8183333333333335;0.732553347071756;0.8183333333333335;0.732553347071756;party1_utility.xml;party2_utility.xml
0,112;56;;60rounds;Yes;No;2;0,66621;0,94167;0,00000;0,30558;1,60787;Group29_BoaParty@1418;Group29_BoaParty@1419;0.9416666666666667;0.6662075599338653;0.9416666666666667;0.6662075599338653;0.9416666666666667;0.6662075599338653;party1_utility.xml;party2_utility.xml
0,008;6;;60rounds;Yes;No;2;0,74667;0,77847;0,12816;0,15492;1,52513;ConcederNegotiationParty@1420;ConcederNegotiationParty@1421;0.7466666666666668;0.7784676281352214;0.7466666666666668;0.7784676281352214;0.7466666666666668;0.7784676281352214;party1_utility.xml;party2_utility.xml
0,025;17;;60rounds;Yes;No;2;0,51611;0,90333;0,07481;0,42910;1,41944;Group29_BoaParty@1422;ConcederNegotiationParty@1423;0.9033333333333333;0.5161097156742358;0.9033333333333333;0.5161097156742358;0.9033333333333333;0.5161097156742358;party1_utility.xml;party2_utility.xml
